"C_qoe","C_accep","duration_surfing","duration_prompt","cond_code","prompt_type","site_index","site_name","dl_bandwidth","ul_bandwidth","rtt_delay","usr_id"
"4","1","153","18","EXP_1","web","4","expedia.de","64","384","80","30"
"3,5","1","186","14","EXP_5","web","4","expedia.de","1024","384","80","30"
"3,5","1","154","13","EXP_3","web","4","expedia.de","256","384","80","30"
" "," ","205"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","30"
"2,5","1","175","13","CHEF_0","web","5","chefkoch.de","32","384","80","30"
"3","1","167","16","CHEF_4","web","5","chefkoch.de","512","384","80","30"
"3","1","155","12","CHEF_2","web","5","chefkoch.de","128","384","80","30"
" "," ","231"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","30"
"4,5","1","176","19","WIKI_1","web","2","wikipedia.de","64","384","80","30"
"4","1","180","14","WIKI_5","web","2","wikipedia.de","1024","384","80","30"
"4","1","162","12","WIKI_3","web","2","wikipedia.de","256","384","80","30"
" "," ","166"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","30"
"3,5","1","177","10","SPIEGEL_1","web","1","spiegel.de","64","384","80","30"
"4","1","156","11","SPIEGEL_4","web","1","spiegel.de","512","384","80","30"
"4","1","153","10","SPIEGEL_5","web","1","spiegel.de","1024","384","80","30"
" "," ","159"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","34"
"4","1","163","29","SPIEGEL_4","web","1","spiegel.de","512","384","80","34"
"2","0","156","40","SPIEGEL_2","web","1","spiegel.de","128","384","80","34"
" "," ","159"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","34"
"2,5","1","151","30","WIKI_3","web","2","wikipedia.de","256","384","80","34"
"3","1","168","51","WIKI_1","web","2","wikipedia.de","64","384","80","34"
"4","1","152","21","WIKI_5","web","2","wikipedia.de","1024","384","80","34"
" "," ","189"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","34"
"2,5","1","165","20","EXP_3","web","4","expedia.de","256","384","80","34"
"1","0","174","77","EXP_1","web","4","expedia.de","64","384","80","34"
"3,5","1","154","26","EXP_5","web","4","expedia.de","1024","384","80","34"
" "," ","225"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","34"
"3,5","1","206","20","CHEF_2","web","5","chefkoch.de","128","384","80","34"
"1","0","161","49","CHEF_0","web","5","chefkoch.de","32","384","80","34"
"4,5","1","156","20","CHEF_4","web","5","chefkoch.de","512","384","80","34"
" "," ","153"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","34"
"3,5","1","155","57","SPIEGEL_1","web","1","spiegel.de","64","384","80","34"
"5","1","148","32","SPIEGEL_3","web","1","spiegel.de","256","384","80","34"
"5","1","138","30","SPIEGEL_5","web","1","spiegel.de","1024","384","80","34"
" "," ","160"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","38"
"3","1","154","15","SPIEGEL_3","web","1","spiegel.de","256","384","80","38"
"2","1","154","11","SPIEGEL_2","web","1","spiegel.de","128","384","80","38"
" "," ","171"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","38"
"3,5","1","160","20","EXP_5","web","4","expedia.de","1024","384","80","38"
"1,5","1","159","18","EXP_1","web","4","expedia.de","64","384","80","38"
"3","1","151","17","EXP_3","web","4","expedia.de","256","384","80","38"
" "," ","165"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","38"
"3","1","152","17","CHEF_4","web","5","chefkoch.de","512","384","80","38"
"1","0","154","14","CHEF_0","web","5","chefkoch.de","32","384","80","38"
"3","1","156","14","CHEF_2","web","5","chefkoch.de","128","384","80","38"
" "," ","156"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","38"
"4","1","154","26","WIKI_5","web","2","wikipedia.de","1024","384","80","38"
"2,5","1","149","15","WIKI_1","web","2","wikipedia.de","64","384","80","38"
"4","1","152","28","WIKI_3","web","2","wikipedia.de","256","384","80","38"
" "," ","152"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","38"
"3,5","1","142","19","SPIEGEL_5","web","1","spiegel.de","1024","384","80","38"
"1","0","143","8","SPIEGEL_1","web","1","spiegel.de","64","384","80","38"
"3,5","1","146","9","SPIEGEL_4","web","1","spiegel.de","512","384","80","38"
" "," ","180"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","42"
"5","1","166","10","SPIEGEL_1","web","1","spiegel.de","64","384","80","42"
"5","1","167","10","SPIEGEL_4","web","1","spiegel.de","512","384","80","42"
"5","1","177","8","SPIEGEL_2","web","1","spiegel.de","128","384","80","42"
