"C_qoe","C_accep","duration_surfing","duration_prompt","cond_code","prompt_type","site_index","site_name","dl_bandwidth","ul_bandwidth","rtt_delay","usr_id"
"1,5","1","154","19","CHEF_0","web","5","chefkoch.de","32","384","80","21"
"2","1","152","11","CHEF_2","web","5","chefkoch.de","128","384","80","21"
" "," ","172"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","21"
"3,5","1","157","16","WIKI_5","web","2","wikipedia.de","1024","384","80","21"
"1,5","1","154","13","WIKI_1","web","2","wikipedia.de","64","384","80","21"
"2,5","1","167","15","WIKI_3","web","2","wikipedia.de","256","384","80","21"
" "," ","161"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","21"
"3,5","1","166","7","SPIEGEL_5","web","1","spiegel.de","1024","384","80","21"
"1,5","1","172","8","SPIEGEL_1","web","1","spiegel.de","64","384","80","21"
"2,5","1","169","8","SPIEGEL_4","web","1","spiegel.de","512","384","80","21"
" "," ","162"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","23"
"1","0","164","10","EXP_0","web","4","expedia.de","32","384","80","23"
"2,5","1","214","16","EXP_4","web","4","expedia.de","512","384","80","23"
"2","1","169","14","EXP_2","web","4","expedia.de","128","384","80","23"
" "," ","167"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","23"
